,French,English
0,partie,part
1,histoire,history
2,police,police
3,pensais,thought
4,aide,help
5,demande,request
6,frère,brother
7,eux,them
8,parlé,speak
9,devrait,should
10,vont,will
11,revoir,meet again
12,aucune,any
13,place,square
14,parle,speak
15,compris,understood
16,savais,knew
17,donner,give
18,type,type
19,train,train
20,endroit,place
21,yeux,eyes
22,dont,whose
23,pouvoir,power
24,vieux,old
25,matin,morning
26,enfant,child
27,point,point
28,pardon,sorry
29,devant,in front of
30,vers,towards
31,aujourd'hui,today
32,mari,husband
33,espère,hope
34,nouvelle,new
35,boulot,job
36,dirait,would say
37,donne,given
38,loin,far
39,croire,believe
40,gros,large
41,aura,will have
42,jouer,to play
